"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"SBIN","29-Jul-2016","27-Oct-2016","CE","250","0","0","0","9.55","0","8.5","0","0","0","0","0","229.4"
"SBIN","01-Aug-2016","27-Oct-2016","CE","250","0","0","0","9.55","0","7.2","0","0","0","0","0","227.3"
"SBIN","02-Aug-2016","27-Oct-2016","CE","250","0","0","0","9.55","0","7","0","0","0","0","0","228.05"
"SBIN","03-Aug-2016","27-Oct-2016","CE","250","0","0","0","9.55","0","6.15","0","0","0","0","0","226.65"
"SBIN","04-Aug-2016","27-Oct-2016","CE","250","0","0","0","9.55","0","5.45","0","0","0","0","0","225.65"
"SBIN","05-Aug-2016","27-Oct-2016","CE","250","0","0","0","9.55","0","8.8","0","0","0","0","0","232.75"
"SBIN","08-Aug-2016","27-Oct-2016","CE","250","0","0","0","9.55","0","8.3","0","0","0","0","0","233.25"
"SBIN","09-Aug-2016","27-Oct-2016","CE","250","0","0","0","9.55","0","8.65","0","0","0","0","0","235.15"
"SBIN","10-Aug-2016","27-Oct-2016","CE","250","0","0","0","9.55","0","7.2","0","0","0","0","0","231.5"
"SBIN","11-Aug-2016","27-Oct-2016","CE","250","0","0","0","9.55","0","5.8","0","0","0","0","0","227.15"
"SBIN","12-Aug-2016","27-Oct-2016","CE","250","0","0","0","9.55","0","17.95","0","0","0","0","0","243.3"
"SBIN","16-Aug-2016","27-Oct-2016","CE","250","12.25","12.5","12","12.45","12.45","12.45","9","70.79","3.29","27000","27000","246.75"
"SBIN","17-Aug-2016","27-Oct-2016","CE","250","15.75","15.75","13.1","13.1","13.1","13.1","2","15.87",".87","30000","3000","246.25"
"SBIN","18-Aug-2016","27-Oct-2016","CE","250","0","0","0","13.1","13.1","18.4","0","0","0","30000","0","248.4"
"SBIN","19-Aug-2016","27-Oct-2016","CE","250","6.2","6.2","6.2","6.2","6.2","6.2","1","7.69",".19","30000","0","258.5"
"SBIN","22-Aug-2016","27-Oct-2016","CE","250","0","0","0","6.2","6.2","22.4","0","0","0","30000","0","254.8"
"SBIN","23-Aug-2016","27-Oct-2016","CE","250","0","0","0","6.2","6.2","21.65","0","0","0","30000","0","254.75"
